precomin;precomed;precomax;idPu;dataCadastro;idParceiro;data
3467.75;0;3899;623712;;0;04/11/2016
3467.75;0;3899;623712;;0;05/11/2016
3467.75;0;3899;623712;;0;06/11/2016
3399;0;3899;623712;;0;07/11/2016
3431.91;0;4049.1;623712;;0;08/11/2016
3399;0;4049.1;623712;;0;09/11/2016
3399;0;4499;623712;;0;10/11/2016
3399;3467;4499;623712;;0;11/11/2016
3431.91;3467;3899;623712;;0;12/11/2016
3431.91;3467;3899;623712;;0;13/11/2016
3431.91;3399;3899;623712;;0;14/11/2016
3467.75;3399;3899;623712;;0;15/11/2016
3399;3399;3899;623712;;0;16/11/2016
3399;3399;3899;623712;;0;17/11/2016
3399;3399;4049.1;623712;;0;18/11/2016
3399;3399;4049.1;623712;;0;19/11/2016
3399;3399;4049.1;623712;;0;20/11/2016
3399;3399;4049.1;623712;;0;21/11/2016
3399;3399;4049.1;623712;;0;22/11/2016
3399;3399;3899;623712;;0;23/11/2016
3399;3399;3899;623712;;0;24/11/2016
3399;3399;4499.9;623712;;0;25/11/2016
3399;3399;3899;623712;;0;26/11/2016
3399;3399;3899;623712;;0;27/11/2016
3399;3399;3899;623712;;0;28/11/2016
3399;3399;3899;623712;;0;29/11/2016
3399;3399;3899;623712;;0;30/11/2016
3399;3399;3899;623712;;0;01/12/2016
3399;3399;3899;623712;;0;02/12/2016
3399;3399;3899;623712;;0;03/12/2016
3399;3399;3899;623712;;0;04/12/2016
3399;3399;3899;623712;;0;05/12/2016
3399;3399;3899;623712;;0;06/12/2016
3399;3399;3899;623712;;0;07/12/2016
3399;3399;3899;623712;;0;08/12/2016
3399;3399;3899;623712;;0;09/12/2016
3399;3399;3899;623712;;0;10/12/2016
3399;3399;3899;623712;;0;11/12/2016
3399;3399;3899;623712;;0;12/12/2016
3399;3399;3899.9;623712;;0;13/12/2016
3399;3399;4499.9;623712;;0;14/12/2016
3399;3399;4499.9;623712;;0;15/12/2016
3399;3399;3899;623712;;0;16/12/2016
3399;3399;3899;623712;;0;17/12/2016
3399;3399;3899;623712;;0;18/12/2016
3399;3399;3899;623712;;0;19/12/2016
3431.12;3399;4499.9;623712;;0;20/12/2016
3431.12;3399;4499.9;623712;;0;21/12/2016
3431.12;3399;4499.9;623712;;0;22/12/2016
3314.15;3399;3899;623712;;0;23/12/2016
3314.15;3399;3899;623712;;0;24/12/2016
3314.15;3314;3899;623712;;0;25/12/2016
3314.15;3314;3899;623712;;0;26/12/2016
3314.15;3314;3899;623712;;0;27/12/2016
3314.15;3314;3899;623712;;0;28/12/2016
3314.15;3314;3899;623712;;0;29/12/2016
3314.15;3314;3899;623712;;0;30/12/2016
3314.15;3314;3899;623712;;0;31/12/2016
3431.12;3314;3899;623712;;0;01/01/2017
3431.12;3314;3899;623712;;0;02/01/2017
3431.12;3314;3899.9;623712;;0;03/01/2017
3431.12;3314;4089.9;623712;;0;04/01/2017
3431.12;3314;4099;623712;;0;05/01/2017
3399;3314;4099;623712;;0;06/01/2017
3399;3314;4099;623712;;0;07/01/2017
3399;3399;4099;623712;;0;08/01/2017
3399;3399;4099;623712;;0;09/01/2017
3399;3399;4099;623712;;0;10/01/2017
3399;3399;4499.88;623712;;0;11/01/2017
3399;3399;4499.88;623712;;0;12/01/2017
3399;3399;4499.88;623712;;0;13/01/2017
3399;3399;3959.12;623712;;0;14/01/2017
3399;3399;3959.12;623712;;0;15/01/2017
3399;3399;3959.9;623712;;0;16/01/2017
3399;3399;3959.9;623712;;0;17/01/2017
3399;3399;4451.88;623712;;0;18/01/2017
3399;3399;5136.96;623712;;0;19/01/2017
3399;3314;5136.96;623712;;0;20/01/2017
3399;3314;5001.99;623712;;0;21/01/2017
3399;3314;5001.99;623712;;0;22/01/2017
3399;3314;5136.96;623712;;0;23/01/2017
3399;3314;4499.88;623712;;0;24/01/2017
3399;3314;4499.88;623712;;0;25/01/2017
3399;3314;4499.88;623712;;0;26/01/2017
3399;3314;4451.88;623712;;0;27/01/2017
3299;3314;4499.88;623712;;0;28/01/2017
3299;3314;4499.88;623712;;0;29/01/2017
3399;3299;5136.96;623712;;0;30/01/2017
3399;3299;5136.96;623712;;0;31/01/2017
3329.91;3299;5136.96;623712;;0;01/02/2017
3329.91;3299;5215.26;623712;;0;02/02/2017
3299;3299;5215.26;623712;;0;03/02/2017
3299;3299;3959.12;623712;;0;04/02/2017
3299;3299;3959.12;623712;;0;05/02/2017
3229.15;3299;3959.12;623712;;0;06/02/2017
3195.15;3299;3959.12;623712;;0;07/02/2017
3195.15;3229;3959.12;623712;;0;08/02/2017
3144.15;3195;3959.12;623712;;0;09/02/2017
3178.15;3195;3959.12;623712;;0;10/02/2017
3178.15;3144;3959.12;623712;;0;11/02/2017
3178.15;3144;3959.12;623712;;0;12/02/2017
3178.15;3144;3959.12;623712;;0;13/02/2017
3178.15;3144;3959.12;623712;;0;14/02/2017
3178.15;3144;3959.12;623712;;0;15/02/2017
3178.15;3144;3959.12;623712;;0;16/02/2017
